transaction_id,transaction_amount,transaction_frequency,account_age_days,credit_score,income_level,debt_to_income_ratio,num_prev_defaults,num_late_payments,employment_status,loan_amount,loan_term_months,interest_rate,payment_history_score,savings_balance,checking_balance,num_accounts,recent_inquiry_count,utilization_rate,annual_expenses,risk_score,risk_label,risk_label_encoded
TXN000001,234.63404498842954,4,485,488,50475,0.36645593943004307,0,4,1,798.4958736956569,60,21.066997521616617,39.916383143423836,419.66537207088635,44.57101555053275,2,1,0.4356438805753793,52692,64.59775077989579,Medium,1
TXN000002,1505.0607154587606,6,322,330,128242,0.17634465367483612,1,1,2,6797.696252330031,12,20.02789044916164,31.56947718063171,5490.861144979962,1973.3150619207458,4,2,0.8424738172899422,85075,79.36491614144735,High,2
TXN000003,658.3728467727246,3,651,741,182473,0.5043638139535808,1,0,1,2000.4050918063424,36,13.557201063258644,54.18187288370569,2021.8053954915792,1195.7621660334044,4,1,0.7781125981628116,29524,59.37898873536419,Medium,1
TXN000004,456.4712768879766,1,1179,588,149243,0.1840325125731017,0,0,1,4628.467417342214,60,4.43270957221384,26.632420802015755,3887.5129890528456,319.886179623392,1,1,0.6555522897031576,50072,54.97659743278999,Medium,1
TXN000005,84.81243523117314,2,2637,607,27220,0.45296850442127734,0,0,1,4948.618320968148,48,5.423522047800212,67.892139116414,4518.244369293511,2499.1573470282897,7,1,0.1308045034759584,41025,40.47882005541752,Medium,1
TXN000006,84.7981459573026,2,1972,587,179644,0.17545482398445708,0,0,1,1155.9854428756191,24,22.81352511623077,67.75623071575626,2366.8831264869486,993.3805017397974,6,1,0.18831747804972643,69823,38.07859285688861,Medium,1
TXN000007,29.919384304340337,6,3353,688,153676,0.5093321877968167,0,1,1,30817.711909529207,12,13.592078727185616,34.22744718932667,1943.46947435455,702.208976340552,4,3,0.15743630857054514,85030,51.55904130594562,Medium,1
TXN000008,1005.6154322399698,8,3090,705,47670,0.351458455148671,0,1,1,9601.61291096428,12,8.603237392349472,62.83886085430602,10093.15725225401,7622.306514466703,1,7,0.2794106336886639,54454,55.73696177936802,Medium,1
TXN000009,459.5410768136323,6,2549,819,92635,0.30621347240093466,0,0,2,13780.06567829998,12,13.397964629912734,90.79875031343538,1360.8348018809531,1127.5936415326148,2,1,0.9195486661259575,89917,44.54660644889237,Medium,1
TXN000010,615.6250308522951,0,2346,369,29295,0.26839107683720687,0,1,1,10937.99670733187,48,19.635371426257276,52.082592832395825,266.7168869125888,1312.818864939053,2,1,0.5539431256148739,37237,61.57966844854986,Medium,1
